Area Name,Area ID,Park Name,Park Name,Squirrel ID,Primary Fur Color,Primary Fur Color,Highlights in Fur Color,Highlights in Fur Color,Squirrel Latitude (DD.DDDDDD),Squirrel Longitude (-DD.DDDDDD)
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-06,Gray,3,Gray,3,40.859636,-73.933717
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-07,Gray,3,Gray,3,40.859416,-73.933894
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-09,Gray,3,Gray,3,40.842769,-73.934478
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-10,Gray,3,Gray,3,40.712995,-74.005963
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-11,Gray,3,Gray,3,40.722614,-73.973033
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-12,Gray,3,Gray,3,40.722173,-73.97272
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-13,Gray,3,Gray,3,40.724774,-73.97275
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-14,Gray,3,Gray,3,40.721933,-73.953147
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-15,Gray,3,Gray,3,40.712872,-74.006878
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-16,Gray,3,Gray,3,40.712872,-74.006878
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-17,Gray,3,Gray,3,40.722819,-73.952095
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-18,Gray,3,Gray,3,40.720458,-73.954244
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-19,Gray,3,Gray,3,40.73542,-73.990453
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-20,Gray,3,Gray,3,40.735945,-73.990201
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-21,Gray,3,Gray,3,40.73604,-73.98966
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-22,Gray,3,Gray,3,40.73618,-73.990683
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-23,Gray,3,Gray,3,40.736298,-73.990559
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-24,Gray,3,Gray,3,40.712199,-73.979519
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-25,Gray,3,Gray,3,40.817719,-73.948855
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-26,Gray,3,Gray,3,40.816555,-73.949609
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-27,Gray,3,Gray,3,40.818263,-73.948909
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-28,Gray,3,Gray,3,40.76203,-73.9716
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-29,Gray,3,Gray,3,40.76203,-73.9716
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-30,Gray,3,Gray,3,40.76203,-73.9716
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-31,Gray,3,Gray,3,40.845875,-73.940808
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-32,Gray,3,Gray,3,40.845875,-73.940808
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-34,Gray,3,Gray,3,40.846088,-73.940613
